RBD,ASIG_TEL
20219,FCACERES
253,JHOPPE
9503,vjimenez
10021,MMENDEZ
10385,vjimenez
12302,KNUÑEZ
22246,FCACERES
26045,MMENDEZ
1216,FCACERES
6189,FCACERES
9373,KNUÑEZ
12594,JHOPPE
18049,jgonzalez
26150,vjimenez
3310,JHOPPE
5664,FCACERES
7396,FCACERES
7989,FCACERES
25624,MMENDEZ
10710,JHOPPE
14266,KNUÑEZ
16484,JHOPPE
22478,FCACERES
4785,jgonzalez
9477,jgonzalez
10041,MMENDEZ
24657,vjimenez
25465,MMENDEZ
16541,JHOPPE
24969,MMENDEZ
4677,jgonzalez
10032,MMENDEZ
10235,jgonzalez
11838,vjimenez
13383,vjimenez
17746,jgonzalez
5690,FCACERES
24428,KPULGAR
10221,jgonzalez
24722,MMENDEZ
4650,jgonzalez
7231,KPULGAR
9506,vjimenez
10361,vjimenez
26235,MMENDEZ
11130,vjimenez
12241,MMENDEZ
17772,jgonzalez
19923,FCACERES
24410,MMENDEZ
7234,KPULGAR
13467,vjimenez
16652,JHOPPE
22322,FCACERES
26068,KNUÑEZ
3608,JHOPPE
9175,KNUÑEZ
10830,KPULGAR
12312,KNUÑEZ
13474,vjimenez
17840,jgonzalez
18184,KPULGAR
25136,MMENDEZ
25803,MMENDEZ
12004,KPULGAR
344,JHOPPE
479,KPULGAR
14824,KNUÑEZ
15757,KNUÑEZ
17848,jgonzalez
22265,FCACERES
40319,vjimenez
1581,KNUÑEZ
9945,KPULGAR
10229,jgonzalez
18127,jgonzalez
24893,MMENDEZ
25897,KNUÑEZ
1842,KNUÑEZ
10064,MMENDEZ
10365,vjimenez
12118,KPULGAR
14537,FCACERES
16588,JHOPPE
22343,FCACERES
24224,MMENDEZ
25014,jgonzalez
492,KPULGAR
1221,FCACERES
7614,FCACERES
9797,JHOPPE
13373,vjimenez
15502,KNUÑEZ
22750,KPULGAR
24881,jgonzalez
25484,MMENDEZ
26293,MMENDEZ
1218,FCACERES
14602,KNUÑEZ
1256,FCACERES
3299,JHOPPE
4767,jgonzalez
7115,KPULGAR
7404,FCACERES
9648,jgonzalez
9754,JHOPPE
19950,FCACERES
25005,vjimenez
1607,KNUÑEZ
6542,FCACERES
10355,JHOPPE
19947,FCACERES
22260,FCACERES
24625,jgonzalez
26352,MMENDEZ
1587,KNUÑEZ
2309,KNUÑEZ
8109,FCACERES
10743,JHOPPE
11886,JHOPPE
12694,KPULGAR
13604,vjimenez
22374,KPULGAR
26532,jgonzalez
3201,JHOPPE
6115,FCACERES
8366,MMENDEZ
10540,KNUÑEZ
