AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;FONO_RBD;CELULAR_RBD;DIR_RBD;LATITUD;LONGITUD;CONVENIO_PIE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2015;40420;9;ESCUELA DE LENGUAJE NUBE Y SOL;1;11;1101;IQUIQUE;11;IQUIQUE;3;2;0;2418722; ;PILOTO PARDO;-20,213223;-70,13845;0;214;0;0;0;0;0;0;0;0;1;1;7;VARIAS;GRATUITO;GRATUITO
2015;12746;9;ESCUELA ESPECIAL DE LENGUAJE VILENKA;1;11;1107;ALTO HOSPICIO;11;IQUIQUE;3;2;0;494618;98651127;CALLE 2;-20,274087;-70,10650;0;214;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;12971;2;ESCUELA ESPECIAL DE LENGUAJE MONTESSORI;2;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;3;2;0;371271; ;AVDA. ARGENTINA . P. COVIEFI;-23,690427;-70,40995;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;13198;9;ESCUELA ESPECIAL DE LENGUAJE MI ESTACION;3;31;3101;COPIAPO;31;COPIAPO;3;2;0;2362831;76238433;CAUPOLICAN;-27,414633;-70,28124;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;25774;5;ESCUELA ESP. PART. ARRAYAN;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;22821228;1284025;AVENIDA TRINIDAD;-33,546790;-70,59286;0;10;214;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;31203;7;COLEGIO DOMINGO SANTA MARIA;4;41;4106;VICUÑA;41;ELQUI;3;2;0;419043;63289888;BAQUEDANO;-30,031607;-70,70912;0;10;110;214;0;0;0;0;0;0;1;1;2; ;GRATUITO;$25.001 A $50.000
2015;13105;9;ESC. ESPECIAL PARTICULAR LOS CONEJITOS;3;31;3101;COPIAPO;31;COPIAPO;3;2;0;227363; ;LOS CARRERAS;-27,389513;-70,30334;0;212;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;40083;1;ESCUELA ESPECIAL DE LENGUAJE NAHUEL;5;51;5101;VALPARAISO;53;VALPARAISO;3;2;0;2286613;84647706;LUIS CRUZ ALMEIDA Nº336 3ºSECTOR,PLAYA ANCHA;-33,052978;-71,65026;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;31054;9;COLEGIO EL LABRADOR;13;134;13402;BUIN;132;SANTIAGO SUR;3;2;0;28214515;67972031;SAN IGNACIO;-33,741740;-70,74381;1;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;$10.001 A $25.000
2015;14928;6;ESCUELA ESP.DE LENGUAJE TIERRA MADRE;5;58;5804;VILLA ALEMANA;53;VALPARAISO;3;2;0;2953659;77405740;HUANHUALÍ 1132 VILLA ALEMANA;-33,046738;-71,37613;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;14907;1;ESCUELA ESPECIAL DE LENGUAJE ANTU;5;55;5504;LA CRUZ;51;QUILLOTA;3;2;0;2260016;77071944;AVENIDA 21 DE MAYO;-32,850372;-71,23357;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;24836;3;COLEGIO SAN ISIDRO;13;134;13402;BUIN;132;SANTIAGO SUR;4;3;0;8213123;82691011;PARCELA;-33,760725;-70,74182;0;10;110;310;0;0;0;0;0;0;1;1;2; ;MÁS DE $100.000;MÁS DE $100.000
